rate,current,proposed,indexed,previous
1.00,,42000,42840,
1.50,,44520,45410,
2.00,51957,47191,48135,
2.50,,50022,51023,
3.00,,53024,54084,
3.50,,56205,57329,
4.00,57730,59577,60769,55874
4.50,64307,63152,64415,62239
5.00,70882,66941,68280,68603
5.50,74608,70958,72377,72208
6.00,80198,75215,76719,77619
6.50,86856,79728,81323,84063
7.00,91426,84512,86202,88487
7.50,100614,89582,91374,97378
8.00,107214,94957,96857,103766
8.50,,100655,102669,
9.00,,106694,108829,
9.50,,113096,115358,
10.00,,119882,122279,
